player_name,team,stat_type,line,platform,game_date,retrieved_at,line_category,standard_line
RJ Barrett + Donovan Mitchell,TOR/CLE,points,47.5,PrizePicks,2026-04-26,,,47.5
Brandon Ingram + Donovan Mitchell,TOR/CLE,points,47.0,PrizePicks,2026-04-26,,,47.0
Scottie Barnes + Donovan Mitchell,TOR/CLE,points,46.5,PrizePicks,2026-04-26,,,46.5
Donovan Mitchell,CLE,points_rebounds_assists,44.5,PrizePicks,2026-04-26,,,37.5
James Harden,CLE,points_rebounds_assists,44.5,PrizePicks,2026-04-26,,,31.5
Scottie Barnes,TOR,points_rebounds_assists,44.5,PrizePicks,2026-04-26,,,34.5
Brandon Ingram + James Harden,TOR/CLE,points,40.5,PrizePicks,2026-04-26,,,40.5
RJ Barrett + James Harden,TOR/CLE,points,40.5,PrizePicks,2026-04-26,,,40.5
Donovan Mitchell,CLE,points_rebounds_assists,40.5,PrizePicks,2026-04-26,,,37.5
Scottie Barnes + James Harden,TOR/CLE,points,40.0,PrizePicks,2026-04-26,,,40.0
Brandon Ingram,TOR,points_rebounds_assists,39.5,PrizePicks,2026-04-26,,,29.5
Donovan Mitchell,CLE,points_assists,39.5,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points_rebounds,39.5,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points_rebounds_assists,39.5,PrizePicks,2026-04-26,,,37.5
Evan Mobley,CLE,points_rebounds_assists,39.5,PrizePicks,2026-04-26,,,29.0
James Harden,CLE,points_rebounds_assists,39.5,PrizePicks,2026-04-26,,,31.5
RJ Barrett,TOR,points_rebounds_assists,39.5,PrizePicks,2026-04-26,,,29.5
Scottie Barnes,TOR,points_rebounds_assists,39.5,PrizePicks,2026-04-26,,,34.5
Scottie Barnes,TOR,points_rebounds,39.5,PrizePicks,2026-04-26,,,28.5
RJ Barrett + Evan Mobley,TOR/CLE,points,37.5,PrizePicks,2026-04-26,,,37.5
Brandon Ingram + Evan Mobley,TOR/CLE,points,37.5,PrizePicks,2026-04-26,,,37.5
Scottie Barnes,TOR,points_rebounds_assists,37.5,PrizePicks,2026-04-26,,,34.5
Donovan Mitchell,CLE,points_rebounds,36.5,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points_rebounds_assists,35.5,PrizePicks,2026-04-26,,,37.5
Donovan Mitchell,CLE,points_assists,35.5,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points,34.5,PrizePicks,2026-04-26,,,26.5
Scottie Barnes,TOR,points_rebounds_assists,34.5,PrizePicks,2026-04-26,,,34.5
Brandon Ingram,TOR,points_rebounds,34.5,PrizePicks,2026-04-26,,,25.5
Brandon Ingram,TOR,points_rebounds_assists,34.5,PrizePicks,2026-04-26,,,29.5
Donovan Mitchell,CLE,points_assists,34.5,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points_rebounds,34.5,PrizePicks,2026-04-26,,,31.0
Evan Mobley,CLE,points_rebounds,34.5,PrizePicks,2026-04-26,,,25.5
Evan Mobley,CLE,points_rebounds_assists,34.5,PrizePicks,2026-04-26,,,29.0
James Harden,CLE,points_assists,34.5,PrizePicks,2026-04-26,,,28.0
James Harden,CLE,points_rebounds,34.5,PrizePicks,2026-04-26,,,24.0
James Harden,CLE,points_rebounds_assists,34.5,PrizePicks,2026-04-26,,,31.5
RJ Barrett,TOR,points_rebounds,34.5,PrizePicks,2026-04-26,,,26.0
RJ Barrett,TOR,points_rebounds_assists,34.5,PrizePicks,2026-04-26,,,29.5
Scottie Barnes,TOR,points_assists,34.5,PrizePicks,2026-04-26,,,28.5
Scottie Barnes,TOR,points_rebounds,34.5,PrizePicks,2026-04-26,,,28.5
Brandon Ingram,TOR,points_assists,34.5,PrizePicks,2026-04-26,,,23.5
RJ Barrett,TOR,points_assists,34.5,PrizePicks,2026-04-26,,,26.5
James Harden,CLE,points_rebounds_assists,31.5,PrizePicks,2026-04-26,,,31.5
Brandon Ingram,TOR,points_rebounds_assists,31.5,PrizePicks,2026-04-26,,,29.5
Donovan Mitchell,CLE,points_rebounds_assists,31.5,PrizePicks,2026-04-26,,,37.5
Evan Mobley,CLE,points_rebounds_assists,31.5,PrizePicks,2026-04-26,,,29.0
RJ Barrett,TOR,points_rebounds_assists,31.5,PrizePicks,2026-04-26,,,29.5
Scottie Barnes,TOR,points_rebounds_assists,31.5,PrizePicks,2026-04-26,,,34.5
Scottie Barnes,TOR,points_assists,31.5,PrizePicks,2026-04-26,,,28.5
Donovan Mitchell,CLE,points_assists,31.0,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points_rebounds,31.0,PrizePicks,2026-04-26,,,31.0
Donovan Mitchell,CLE,points,30.5,PrizePicks,2026-04-26,,,26.5
Brandon Ingram,TOR,points_rebounds,30.5,PrizePicks,2026-04-26,,,25.5
James Harden,CLE,points_assists,30.5,PrizePicks,2026-04-26,,,28.0
RJ Barrett,TOR,points_rebounds,30.5,PrizePicks,2026-04-26,,,26.0
Brandon Ingram,TOR,points,29.5,PrizePicks,2026-04-26,,,20.5
